visit_year,visit_month,mau,sessions_count,sessions_duration_total_sec,orders_count,new_users,new_buyers,revenue_total,profit,profit_cum,conversion_rate_%,avg_order_value,avr_order_frequency_rate,customer_value,avg_customer_lifetime_span,avg_customer_ltv_cum,costs_total,cac,ltv_cac_ratio,mau_previous,churn_rate,romi,roas
2017,2017-06-01,13259,16872,7422038,2355,13259,2024,7028.38,3514.19,3514.19,13.96,2.98,0.18,0.54,0.53,0.29,18015.0,1.36,0.21,,,-60.99,39.01
2017,2017-07-01,14237,18359,7991135,2362,13140,1922,8438.28,4219.14,7733.33,12.87,3.57,0.17,0.61,0.59,0.65,18240.59,1.39,0.47,13259.0,17.81,-53.74,46.26
2017,2017-08-01,11709,14824,6314203,1808,10181,1371,6429.64,3214.82,10948.15,12.2,3.56,0.15,0.53,0.55,0.94,14790.539999999999,1.45,0.65,14237.0,12.7,-56.53,43.47
2017,2017-09-01,19111,24817,10979312,3387,16704,2580,11014.79,5507.4,16455.55,13.65,3.25,0.18,0.58,0.58,1.27,24368.91,1.46,0.87,11709.0,28.93,-54.8,45.2
2017,2017-10-01,29901,39331,17561346,5678,25977,4340,17949.57,8974.78,25430.33,14.44,3.16,0.19,0.6,0.6,1.63,36322.88,1.4,1.16,19111.0,29.71,-50.58,49.42
2017,2017-11-01,33055,45697,20885279,5659,27248,4081,18160.67,9080.33,34510.66,12.38,3.21,0.17,0.55,0.55,1.94,37907.88,1.39,1.4,29901.0,18.93,-52.09,47.91
2017,2017-12-01,31898,43833,20066995,6218,25268,4383,19950.12,9975.06,44485.72,14.19,3.21,0.19,0.61,0.63,2.32,38315.35,1.52,1.53,33055.0,18.81,-47.93,52.07
2018,2018-01-01,29064,38322,17056589,4723,22624,3375,14711.4,7355.7,51841.42,12.32,3.11,0.16,0.5,0.51,2.58,33518.52,1.48,1.74,31898.0,14.81,-56.11,43.89
2018,2018-02-01,29149,38816,17219922,5280,22197,3650,17288.16,8644.08,60485.5,13.6,3.27,0.18,0.59,0.59,2.92,32723.03,1.47,1.99,29064.0,18.17,-47.17,52.83
2018,2018-03-01,27911,37443,16721977,5325,20590,3532,16986.34,8493.17,68978.67,14.22,3.19,0.19,0.61,0.61,3.3,30415.27,1.48,2.23,29149.0,18.27,-44.15,55.85
2018,2018-04-01,21297,27568,11815805,3274,15709,2277,11073.29,5536.64,74515.31,11.88,3.38,0.15,0.51,0.52,3.56,22289.38,1.42,2.51,27911.0,11.73,-50.32,49.68
2018,2018-05-01,21040,27998,12024631,4345,15267,2987,13276.46,6638.23,81153.54,15.52,3.06,0.21,0.64,0.63,3.96,22224.27,1.46,2.71,21297.0,20.4,-40.26,59.74
